2026-04-08 07:59:14,092 | INFO | Run log file: runs/logs/run_20260408_075914.log
2026-04-08 07:59:14,093 | INFO | CLI mode override: arxiv_only
2026-04-08 07:59:14,093 | INFO | Starting pipeline run
2026-04-08 07:59:14,093 | INFO | Pipeline mode: arxiv_only
2026-04-08 07:59:14,093 | INFO | Lookback config: {'years': 3, 'months': 0, 'days': 0}
2026-04-08 07:59:14,093 | INFO | Search max_results: 20
2026-04-08 07:59:14,093 | INFO | Query config: use_and_query=True, enforce_domain_prefilter=True, prefilter_min_matches=1, require_anchor_match=True
2026-04-08 07:59:14,093 | INFO | Selection top_n: 3
2026-04-08 07:59:14,093 | INFO | Inference model: Qwen/Qwen3-VL-30B-A3B-Instruct-FP8
2026-04-08 07:59:14,093 | INFO | Structured review config: enabled=True, mode=separate, file=/home/nodozi/projects/mlir_wp/arxiv-daily-digest/pipeline_data/review_questions.json, max_questions=15, include_in_digest=True
2026-04-08 07:59:14,093 | INFO | arXiv tuning: {'arxiv_page_size': 0, 'arxiv_delay_seconds': 6.0, 'arxiv_num_retries': 6, 'arxiv_max_attempts': 4, 'arxiv_backoff_seconds': 20.0}
2026-04-08 07:59:14,093 | INFO | Network retry config: {'openai_retry_max_attempts': 8, 'openai_retry_base_seconds': 5.0, 'openai_retry_max_seconds': 120.0, 'poll_interval_seconds': 30.0, 'max_consecutive_poll_errors': 0}
2026-04-08 07:59:14,093 | INFO | LLM payload source: arXiv title + abstract metadata only (no PDF/full-paper download).
2026-04-08 07:59:14,093 | INFO | arXiv query: ("claims reserving" OR "loss reserving" OR "IBNR" OR "claim development" OR "run-off" OR "individual claims reserving" OR "individual loss reserving" OR "micro-level reserving" OR "insurance reserving" OR "chain ladder" OR "actuarial reserving") AND ("transformer" OR "recurrent neural network" OR "mixture density network" OR "machine learning" OR "neural network")
2026-04-08 07:59:14,093 | INFO | Domain prefilter terms: ['claims reserving', 'loss reserving', 'insurance reserving', 'actuarial reserving', 'individual claims reserving', 'individual loss reserving', 'micro-level reserving', 'IBNR', 'chain ladder']
2026-04-08 07:59:14,093 | INFO | Anchor terms: ['claims reserving', 'loss reserving', 'insurance reserving', 'actuarial reserving', 'individual claims reserving', 'individual loss reserving', 'micro-level reserving', 'IBNR', 'chain ladder', 'reserving']
2026-04-08 07:59:14,093 | INFO | Fetching papers from arXiv
2026-04-08 07:59:14,093 | INFO | arXiv fetch attempt 1/4 (page_size=20, delay_seconds=6.0, num_retries=6)
2026-04-08 07:59:14,321 | INFO | arXiv candidates returned: 20
2026-04-08 07:59:14,321 | INFO | [arxiv_raw] 1/20 id=2602.15385v2 in_window=True domain_match=True prefilter_hits=['claims reserving', 'individual claims reserving'] anchor_hits=['claims reserving', 'individual claims reserving', 'reserving'] published=2026-02-17 06:46:17+00:00 lead_author=Ronald Richman title=From Chain-Ladder to Individual Claims Reserving
2026-04-08 07:59:14,321 | INFO | [arxiv_raw] 2/20 id=2601.07637v1 in_window=True domain_match=True prefilter_hits=['claims reserving', 'individual claims reserving'] anchor_hits=['claims reserving', 'individual claims reserving', 'reserving'] published=2026-01-12 15:17:18+00:00 lead_author=Benjamin Avanzi title=Reinforcement Learning for Micro-Level Claims Reserving
